policy_id,customer_id,agent_id,insurance_id,payment_schedule,policy_status,payment_status,start_date,claim_date,claim_amount,annual_premium,payments_per_year,total_premium
173,90,8,2,Annually,Active,Paid,2018-07-18,,,43615.67,1,43615.67
175,75,6,2,Quarterly,Active,Paid,2019-03-31,,,27349.52,4,27349.52
176,91,6,2,Monthly,Active,Paid,2023-03-03,,,56056.9,12,56056.9
177,86,4,5,Monthly,Active,Paid,2018-07-23,,,9775.55,12,635410.75
178,65,8,4,Annually,Active,Paid,2018-06-16,,,45137.31,1,45137.31
179,92,5,2,Quarterly,Active,Paid,2023-06-13,,,40539.76,4,40539.76
180,93,7,2,Annually,Active,Paid,2024-03-05,,,13208.37,1,13208.37
181,94,8,1,Quarterly,Active,Paid,2024-12-15,,,14116.43,4,282328.6
182,95,5,1,Quarterly,Active,Paid,2018-05-28,,,101726.37,4,2034527.4
183,96,7,4,Monthly,Active,Paid,2018-12-03,,,67080.35,12,67080.35
184,31,7,1,Quarterly,Active,Paid,2024-04-21,,,87826.68,4,1756533.6
185,15,3,2,Quarterly,Active,Paid,2022-06-02,,,26047.68,4,26047.68
186,79,4,1,Quarterly,Active,Paid,2022-03-18,,,15742.6,4,314852.0
187,97,3,3,Quarterly,Active,Paid,2022-10-11,,,19903.73,4,497593.25
190,76,8,2,Monthly,Active,Paid,2019-06-01,,,33954.17,12,33954.17
191,98,4,2,Monthly,Active,Paid,2021-11-01,,,23417.27,12,23417.27
192,99,1,2,Annually,Active,Paid,2019-03-09,,,16918.41,1,16918.41
193,100,1,4,Annually,Active,Paid,2024-08-18,,,30632.78,1,30632.78
194,101,7,3,Monthly,Active,Paid,2023-10-04,,,28874.13,12,721853.25
195,102,4,1,Quarterly,Active,Paid,2018-09-03,,,109218.02,4,2184360.4
196,103,3,4,Annually,Active,Paid,2020-05-10,,,52148.09,1,52148.09
197,104,8,4,Quarterly,Active,Paid,2024-07-22,,,52079.62,4,52079.62
198,16,3,1,Annually,Active,Paid,2023-06-24,,,34176.77,1,683535.4
201,90,6,1,Quarterly,Active,Paid,2024-06-05,,,30367.09,4,607341.8
202,105,3,2,Annually,Active,Paid,2024-08-20,,,37714.35,1,37714.35
204,106,4,4,Annually,Active,Paid,2023-02-03,,,13046.85,1,13046.85
208,54,8,1,Quarterly,Active,Paid,2022-05-10,,,39483.48,4,789669.6
210,107,5,1,Quarterly,Active,Paid,2017-06-03,,,25061.41,4,501228.2
212,14,8,1,Quarterly,Active,Paid,2019-02-02,,,64418.59,4,1288371.8
215,108,5,3,Quarterly,Active,Paid,2024-05-01,,,72965.8,4,1824145.0
216,54,2,2,Annually,Active,Paid,2020-06-27,,,40727.76,1,40727.76
218,109,4,4,Annually,Active,Paid,2017-12-02,,,80933.18,1,80933.18
219,110,4,1,Annually,Active,Paid,2019-04-09,,,15359.68,1,307193.6
220,11,7,4,Annually,Active,Paid,2022-06-26,,,45405.11,1,45405.11
221,68,7,2,Monthly,Active,Paid,2023-04-08,,,32129.94,12,32129.94
222,111,7,2,Monthly,Active,Paid,2017-07-05,,,46342.6,12,46342.6
224,66,6,2,Annually,Active,Paid,2023-01-18,,,13534.13,1,13534.13
226,104,7,5,Monthly,Active,Paid,2018-04-08,,,13878.03,12,902071.95
228,53,4,2,Monthly,Active,Paid,2018-07-28,,,30863.46,12,30863.46
229,112,8,4,Monthly,Active,Paid,2024-05-28,,,13158.08,12,13158.08
230,86,4,1,Annually,Active,Paid,2024-08-12,,,98368.32,1,1967366.4
231,113,2,2,Monthly,Active,Paid,2020-05-13,,,61224.35,12,61224.35
236,114,8,2,Quarterly,Active,Paid,2022-03-25,,,29387.85,4,29387.85
239,115,3,3,Annually,Active,Paid,2019-10-04,,,15750.47,1,393761.75
241,41,6,4,Monthly,Active,Paid,2021-08-17,,,133526.94,12,133526.94
242,116,3,1,Annually,Active,Paid,2024-02-26,,,28995.03,1,579900.6
243,117,8,2,Monthly,Active,On-Going,2017-03-10,,,47582.18,12,47582.18
247,118,5,1,Quarterly,Active,On-Going,2021-11-13,,,42853.77,4,857075.4
248,45,5,4,Annually,Active,On-Going,2023-05-11,,,24398.87,1,24398.87
251,119,1,1,Monthly,Active,On-Going,2017-11-08,,,6221.07,12,124421.4
252,120,6,3,Quarterly,Active,On-Going,2019-07-24,,,174073.23,4,4351830.75
254,121,6,2,Quarterly,Active,On-Going,2021-12-27,,,6144.01,4,6144.01
255,83,5,1,Annually,Active,On-Going,2021-07-30,,,35886.94,1,717738.8
256,122,2,4,Quarterly,Active,On-Going,2021-08-22,,,98154.74,4,98154.74
257,123,5,4,Monthly,Active,On-Going,2020-01-07,,,58554.9,12,58554.9
260,118,2,3,Annually,Active,On-Going,2023-09-01,,,45580.33,1,1139508.25
261,74,2,2,Quarterly,Active,On-Going,2024-10-17,,,51327.2,4,51327.2
263,24,3,4,Quarterly,Active,Paid,2024-10-08,,,45723.63,4,45723.63
267,124,3,2,Annually,Active,Paid,2022-10-26,,,8234.23,1,8234.23
268,39,5,3,Annually,Active,Paid,2022-08-12,,,134944.44,1,3373611.0
269,125,2,3,Annually,Active,Paid,2018-08-04,,,15391.47,1,384786.75
270,126,7,4,Annually,Active,Paid,2024-10-24,,,18660.86,1,18660.86
271,127,4,1,Monthly,Active,Paid,2019-09-27,,,38202.2,12,764044.0
272,128,7,4,Annually,Active,Paid,2019-01-26,,,22457.92,1,22457.92
273,129,5,4,Monthly,Active,Paid,2024-11-26,,,41477.64,12,41477.64
274,40,4,4,Monthly,Active,Paid,2022-02-18,,,14358.62,12,14358.62
277,130,6,4,Quarterly,Active,Paid,2024-02-17,,,30863.95,4,30863.95
278,131,3,2,Quarterly,Active,Paid,2023-12-13,,,13398.38,4,13398.38
280,51,8,2,Monthly,Active,Paid,2020-04-11,,,21543.04,12,21543.04
282,132,2,4,Annually,Active,Paid,2021-12-13,,,144598.28,1,144598.28
286,133,7,3,Annually,Active,Paid,2018-01-26,,,114301.87,1,2857546.75
288,134,8,4,Quarterly,Active,Paid,2017-11-06,,,61066.88,4,61066.88
290,54,6,4,Quarterly,Active,Paid,2020-01-05,,,45931.79,4,45931.79
291,135,5,4,Monthly,Active,Paid,2018-02-12,,,87169.05,12,87169.05
294,136,6,3,Annually,Active,Paid,2018-01-25,,,39580.7,1,989517.5
295,63,1,4,Monthly,Active,Paid,2024-10-20,,,63380.02,12,63380.02
298,137,5,2,Quarterly,Active,On-Going,2023-11-29,,,86120.16,4,86120.16
302,138,8,4,Quarterly,Active,On-Going,2017-10-26,,,54147.1,4,54147.1
304,139,5,3,Monthly,Active,On-Going,2018-09-29,,,11391.31,12,284782.75
305,132,3,3,Monthly,Active,On-Going,2017-08-26,,,101507.1,12,2537677.5
306,140,7,4,Annually,Active,On-Going,2018-12-21,,,26651.99,1,26651.99
308,141,5,1,Annually,Active,On-Going,2017-09-19,,,103665.57,1,2073311.4
309,129,5,2,Annually,Active,On-Going,2018-11-15,,,11385.98,1,11385.98
313,135,4,2,Quarterly,Active,On-Going,2020-09-02,,,85288.36,4,85288.36
315,142,7,4,Monthly,Active,On-Going,2019-08-13,,,16654.97,12,16654.97
316,42,8,2,Monthly,Active,On-Going,2021-09-16,,,7564.93,12,7564.93
317,143,5,1,Annually,Active,On-Going,2021-03-06,,,114969.9,1,2299398.0
318,144,8,4,Monthly,Active,On-Going,2021-11-17,,,12398.7,12,12398.7
319,41,2,3,Quarterly,Active,On-Going,2020-07-26,,,92392.49,4,2309812.25
320,145,4,5,Quarterly,Active,On-Going,2022-03-24,,,9481.08,4,616270.2
323,100,7,1,Monthly,Active,On-Going,2018-01-23,,,57403.92,12,1148078.4
324,143,8,1,Quarterly,Active,On-Going,2024-09-12,,,22943.88,4,458877.6
325,80,7,1,Quarterly,Active,On-Going,2018-06-12,,,24421.8,4,488436.0
326,50,1,2,Annually,Active,On-Going,2021-06-06,,,41657.82,1,41657.82
328,146,2,3,Monthly,Active,On-Going,2020-02-20,,,43951.55,12,1098788.75
330,40,4,3,Monthly,Active,On-Going,2020-02-25,,,24927.91,12,623197.75
331,147,2,4,Monthly,Active,On-Going,2019-12-28,,,8098.21,12,8098.21
332,14,4,4,Monthly,Active,On-Going,2018-12-23,,,173942.74,12,173942.74
334,43,6,1,Annually,Active,On-Going,2022-05-12,,,30940.45,1,618809.0
335,148,6,3,Quarterly,Active,On-Going,2017-09-01,,,155535.51,4,3888387.75
336,115,4,1,Annually,Active,On-Going,2021-06-09,,,9669.88,1,193397.6
338,37,7,5,Quarterly,Active,On-Going,2024-09-21,,,71918.95,4,4674731.75
339,149,3,4,Quarterly,Active,On-Going,2023-11-10,,,7276.02,4,7276.02
341,23,7,2,Monthly,Active,On-Going,2020-12-06,,,12178.89,12,12178.89
342,90,1,1,Monthly,Active,On-Going,2021-08-23,,,61473.99,12,1229479.8
343,57,7,1,Monthly,Active,On-Going,2018-10-29,,,86868.27,12,1737365.4
345,150,1,1,Monthly,Active,On-Going,2017-08-08,,,64487.66,12,1289753.2
346,139,3,4,Quarterly,Active,On-Going,2019-08-31,,,26514.95,4,26514.95
349,57,3,1,Quarterly,Active,On-Going,2021-02-22,,,21933.05,4,438661.0
352,151,6,2,Annually,Active,On-Going,2017-05-23,,,48854.15,1,48854.15
353,152,1,1,Monthly,Active,On-Going,2018-06-01,,,25728.09,12,514561.8
355,132,1,3,Annually,Active,On-Going,2023-12-28,,,51545.47,1,1288636.75
357,42,8,4,Quarterly,Active,On-Going,2023-06-02,,,19576.09,4,19576.09
358,78,2,2,Quarterly,Active,On-Going,2017-06-08,,,54040.64,4,54040.64
361,61,8,2,Quarterly,Active,On-Going,2017-08-19,,,114562.68,4,114562.68
362,60,7,4,Annually,Active,On-Going,2017-04-29,,,156411.92,1,156411.92
364,26,4,1,Annually,Active,On-Going,2022-01-02,,,14483.75,1,289675.0
365,42,2,3,Monthly,Active,On-Going,2020-03-13,,,92315.27,12,2307881.75
366,39,6,5,Annually,Active,On-Going,2021-08-05,,,45504.82,1,2957813.3
369,115,4,4,Annually,Active,On-Going,2018-03-19,,,34133.84,1,34133.84
372,153,3,4,Annually,Active,On-Going,2024-12-31,,,73739.4,1,73739.4
373,49,6,3,Annually,Active,On-Going,2023-04-06,,,71248.33,1,1781208.25
374,154,2,3,Annually,Active,On-Going,2020-10-06,,,164078.1,1,4101952.5
376,7,6,2,Quarterly,Active,On-Going,2022-12-11,,,15843.72,4,15843.72
378,155,6,2,Monthly,Active,On-Going,2022-01-26,,,25862.47,12,25862.47
379,156,7,2,Quarterly,Active,On-Going,2021-07-11,,,41685.57,4,41685.57
381,61,7,5,Quarterly,Active,On-Going,2022-08-24,,,13223.27,4,859512.55
382,157,3,3,Annually,Active,On-Going,2020-10-15,,,69021.63,1,1725540.75
384,59,5,1,Quarterly,Active,On-Going,2022-12-31,,,47870.41,4,957408.2
385,144,7,1,Monthly,Active,On-Going,2023-02-20,,,31661.79,12,633235.8
388,158,5,1,Quarterly,Active,On-Going,2020-09-16,,,20403.82,4,408076.4
390,159,5,3,Monthly,Active,Paid,2020-04-05,,,15164.73,12,379118.25
391,29,8,1,Annually,Active,Paid,2018-11-30,,,67299.31,1,1345986.2
392,160,3,1,Quarterly,Active,Paid,2022-02-13,,,9634.35,4,192687.0
395,151,2,1,Annually,Active,Paid,2020-07-11,,,5791.7,1,115834.0
396,52,4,3,Monthly,Active,Paid,2021-11-08,,,82543.51,12,2063587.75
397,9,3,2,Annually,Active,Paid,2018-10-05,,,22728.31,1,22728.31
399,161,4,2,Annually,Active,Paid,2022-01-10,,,31657.08,1,31657.08
400,33,8,1,Monthly,Active,Paid,2023-04-02,,,10043.0,12,200860.0
402,162,8,3,Annually,Active,Paid,2019-06-28,,,6217.96,1,155449.0
403,132,8,4,Monthly,Active,Paid,2022-07-10,,,37974.17,12,37974.17
404,163,4,4,Quarterly,Active,Paid,2019-06-03,,,16627.7,4,16627.7
406,151,6,2,Quarterly,Active,Paid,2023-07-25,,,33642.87,4,33642.87
408,110,1,2,Quarterly,Active,Paid,2020-04-19,,,19946.75,4,19946.75
410,78,5,3,Monthly,Active,Paid,2022-08-26,,,78756.48,12,1968912.0
411,164,1,3,Annually,Active,Paid,2024-12-18,,,48531.91,1,1213297.75
412,129,6,1,Monthly,Active,Paid,2024-07-08,,,9760.88,12,195217.6
413,165,4,3,Annually,Active,Paid,2020-04-23,,,23238.41,1,580960.25
419,166,4,3,Annually,Active,Paid,2024-06-04,,,166547.73,1,4163693.25
420,102,1,1,Monthly,Active,Paid,2022-11-03,,,30998.1,12,619962.0
421,114,2,4,Monthly,Active,Paid,2024-06-10,,,9367.54,12,9367.54
422,167,2,4,Annually,Active,Paid,2017-02-06,,,61184.42,1,61184.42
425,168,2,3,Annually,Active,Paid,2022-12-25,,,7092.44,1,177311.0
426,122,6,2,Annually,Active,Paid,2021-11-18,,,61437.43,1,61437.43
428,145,7,2,Quarterly,Active,Paid,2017-03-11,,,60333.6,4,60333.6
431,169,6,2,Annually,Active,Paid,2024-04-07,,,40805.67,1,40805.67
434,170,4,4,Monthly,Active,Paid,2019-10-24,,,8633.16,12,8633.16
435,55,8,3,Monthly,Active,Paid,2019-03-04,,,8564.21,12,214105.25
436,97,2,4,Quarterly,Active,On-Going,2021-10-21,,,38224.67,4,38224.67
437,171,8,2,Quarterly,Active,On-Going,2022-05-20,,,20242.13,4,20242.13
439,107,1,3,Monthly,Active,On-Going,2022-09-09,,,35655.0,12,891375.0
440,157,1,4,Annually,Active,On-Going,2022-04-18,,,33030.82,1,33030.82
442,141,6,4,Quarterly,Active,On-Going,2018-10-15,,,114267.09,4,114267.09
443,108,2,2,Monthly,Active,On-Going,2017-09-15,,,21777.61,12,21777.61
445,111,8,3,Annually,Active,On-Going,2021-03-31,,,28692.49,1,717312.25
448,172,1,5,Annually,Active,On-Going,2022-05-16,,,38500.4,1,2502526.0
449,45,6,1,Monthly,Active,On-Going,2018-07-06,,,18252.87,12,365057.4
451,104,6,1,Quarterly,Active,On-Going,2018-11-30,,,69638.79,4,1392775.8
452,29,5,4,Monthly,Active,On-Going,2024-09-09,,,68310.37,12,68310.37
455,173,4,1,Monthly,Active,On-Going,2024-08-11,,,46964.3,12,939286.0
456,149,1,1,Quarterly,Active,On-Going,2021-04-11,,,23605.73,4,472114.6
459,2,4,2,Annually,Active,On-Going,2019-11-05,,,15488.84,1,15488.84
460,174,3,4,Annually,Active,On-Going,2023-04-03,,,75461.71,1,75461.71
463,154,5,1,Quarterly,Active,On-Going,2017-12-28,,,49719.82,4,994396.4
465,95,2,2,Annually,Active,On-Going,2020-03-17,,,132110.53,1,132110.53
466,129,1,4,Monthly,Active,On-Going,2018-10-07,,,15981.42,12,15981.42
468,3,1,3,Quarterly,Active,On-Going,2021-07-13,,,68152.86,4,1703821.5
470,175,7,2,Quarterly,Active,On-Going,2022-02-23,,,80409.16,4,80409.16
472,176,4,3,Annually,Active,On-Going,2020-11-01,,,9986.63,1,249665.75
476,177,7,2,Annually,Active,On-Going,2018-06-10,,,19946.99,1,19946.99
478,3,8,1,Quarterly,Active,On-Going,2021-01-21,,,36787.81,4,735756.2
480,23,8,3,Monthly,Active,On-Going,2023-06-17,,,21745.85,12,543646.25
482,89,1,2,Quarterly,Active,On-Going,2020-05-13,,,56028.02,4,56028.02
37,87,6,1,Monthly,Claimed,Not-Fully-Paid,2020-12-19,2025-12-14,2109566.08,48714.73,12,974294.6
38,178,6,5,Annually,Claimed,Not-Fully-Paid,2020-09-22,2023-02-12,1351676.35,15929.49,1,1035416.85
51,11,2,4,Quarterly,Claimed,Not-Fully-Paid,2019-11-28,2020-11-18,1915967.03,94612.12,4,94612.12
55,52,2,1,Quarterly,Claimed,Not-Fully-Paid,2023-01-14,2026-03-07,4499670.43,98748.33,4,1974966.6
56,72,6,3,Annually,Claimed,Not-Fully-Paid,2024-08-13,2028-10-04,291261.18,9860.72,1,246518.0
69,161,7,4,Quarterly,Claimed,Not-Fully-Paid,2023-03-25,2023-12-23,617213.59,21001.4,4,21001.4
72,179,8,3,Monthly,Claimed,Not-Fully-Paid,2019-06-06,2021-01-22,4311462.5,136270.44,12,3406761.0
73,180,8,1,Quarterly,Claimed,Not-Fully-Paid,2017-02-27,2017-12-13,477866.75,14266.52,4,285330.4
79,181,8,2,Monthly,Claimed,Not-Fully-Paid,2020-03-26,2020-12-13,803384.82,25922.22,12,25922.22
139,182,6,4,Annually,Claimed,Not-Fully-Paid,2024-03-28,2024-08-25,2757011.32,93671.91,1,93671.91
150,101,4,5,Monthly,Claimed,Not-Fully-Paid,2022-09-11,2027-06-17,651991.5,8946.85,12,581545.25
151,183,4,4,Monthly,Claimed,Not-Fully-Paid,2024-10-08,2025-01-30,1290887.25,20784.48,12,20784.48
155,38,3,3,Annually,Claimed,Not-Fully-Paid,2018-08-27,2019-04-01,973206.63,21232.98,1,530824.5
163,148,4,3,Quarterly,Claimed,Not-Fully-Paid,2019-09-15,2023-04-23,551831.93,29713.0,4,742825.0
168,184,6,2,Annually,Claimed,Not-Fully-Paid,2019-12-29,2020-09-01,539463.5,33107.76,1,33107.76
213,50,5,4,Annually,Claimed,Not-Fully-Paid,2021-07-19,2022-05-08,497972.5,18955.4,1,18955.4
225,2,1,4,Monthly,Claimed,Not-Fully-Paid,2017-01-15,2017-07-16,548626.46,21147.34,12,21147.34
233,185,8,2,Monthly,Claimed,Not-Fully-Paid,2022-01-17,2022-04-04,575863.33,13692.43,12,13692.43
234,28,3,2,Monthly,Claimed,Not-Fully-Paid,2019-02-10,2020-01-06,1724305.24,21977.38,12,21977.38
235,186,2,5,Monthly,Claimed,Paid,2018-04-26,2022-08-17,369730.22,7647.6,12,497094.0
237,187,1,3,Annually,Claimed,Paid,2022-04-08,2024-02-22,1435747.87,18697.81,1,467445.25
240,153,7,2,Monthly,Claimed,Paid,2018-07-28,2019-05-04,1776071.66,89623.16,12,89623.16
253,160,6,4,Quarterly,Claimed,Paid,2019-10-07,2019-12-18,316993.01,14652.09,4,14652.09
275,84,5,4,Quarterly,Claimed,Paid,2020-12-12,2021-11-23,879395.63,37012.68,4,37012.68
287,188,6,3,Monthly,Claimed,Paid,2018-08-23,2023-05-15,1871332.11,94955.91,12,2373897.75
289,162,5,3,Annually,Claimed,Paid,2018-01-17,2020-09-11,817420.27,24548.89,1,613722.25
300,52,1,1,Annually,Claimed,Paid,2019-02-12,2020-11-08,617313.67,17207.8,1,344156.0
311,97,1,2,Monthly,Claimed,Paid,2023-03-15,2024-03-14,532263.49,10855.52,12,10855.52
329,48,1,4,Quarterly,Claimed,Paid,2023-02-09,2023-09-03,4781692.54,139171.33,4,139171.33
333,176,7,4,Annually,Claimed,Paid,2019-02-11,2019-11-20,1542124.6,48180.32,1,48180.32
344,83,3,3,Quarterly,Claimed,Paid,2018-10-22,2021-12-15,485458.54,9272.6,4,231815.0
348,161,8,1,Monthly,Claimed,Paid,2022-04-24,2024-02-14,2677314.86,51885.86,12,1037717.2
350,171,1,2,Monthly,Claimed,Paid,2018-09-12,2018-11-30,2714268.28,83570.25,12,83570.25
359,9,5,1,Monthly,Claimed,Paid,2020-10-15,2022-07-27,655474.65,32425.78,12,648515.6
